Yeni yılınız kutlu olsun!	Happy New Year!	phrase
Yoldayım!	I'm on my way!	phrase
Yunanistan	Greece	noun
[-den] korkmak	to be scared	verb
[biz/onlar/siz] -meliyiz/-meliler/-melisiniz	[we/they/you] must	phrase
[elinden] düşürmek	to drop [let go]	verb
[gelecek haftadan] önce değil	not until [next week]	phrase
[sen] -mamalısın / -memelisin	[you] must not	phrase
abanoz	ebony [color]	adj
abartmak	to exaggerate	verb
abartmak	to get carried away [fig.]	verb
abartılı	exaggerated	adj
abdest	(ritual) ablution	noun
abi	(older) brother	noun
abla	elder sister	noun
abla	older sister	noun
ablatif	ablative	noun
abone	subscriber	noun
abur cubur	snack	noun
acaba	I wonder	adv
acaba	I wonder	phrase	acaba boş yer var mı? do you have any vacancies?
acaba	perhaps	adv
acayip	strange	adj
acayip	strange, odd	adj
acele	hurry	noun	acele edin: hurry up	acele etmek: to hurry
acele	quick	adj
acele	rush	noun
acemi	novice	adj
acemi	novice	noun
acemice boyamak	to daub	verb
acil	emergency	noun
acil	urgent	adj	acil durum: emergency
aciz	incapable, helpless	adj
acı	bitter (taste)	adj
acı	bitter	noun
acı	hot, peppery (taste)	adj
acı	pain	noun
acıklı	tragic, sad	adj
acıkmak	to get hungry	verb
acılı	bitter; spicy	adj
acımak	to ache	verb
acımasız	merciless	adj
ad	name	noun	adınız ne? what is your name?	ad koymak: to call [name]	adı olmak: to be called
ad	noun	noun
ada devleşmesi	insular gigantism	phrase
ada devleşmesi	island gigantism	phrase
ada doğanı	Eleonora's falcon	phrase
ada	island	noun
adalet	justice	noun
adaletsizlik	injustice	noun
adam	man	noun
adam	man; person	noun
adamak	to dedicate	verb
adamak	to devote	verb
adaptasyon	adaptation	noun
aday	candidate	noun
adaylık	candidacy, nomination	noun
adenozin	adenosine	noun
adet	custom	noun
adet	number, piece	noun
adeta	as if	adv
adeta	so to speak	adv
adi	cheap; vulgar	adj
adi	mean	adj
adil	fair	adj
adlandırmak	to name	verb
adli	judicial, juridical	adj
